cap-shape,cap-surface,cap-color,bruises%3F,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
'k','s','e','f',?,'s','k','p','w','p','w','o','e','w','v','d','p'
'k','y','n','f',?,'s','k','w','w','p','w','o','e','w','v','p','p'
'k','s','e','f',?,'s','s','p','p','p','w','o','e','w','v','l','p'
'k','s','n','f',?,'k','s','p','w','p','w','o','e','w','v','d','p'
'x','s','n','f',?,'k','k','p','w','p','w','o','e','w','v','l','p'
'k','s','n','f',?,'s','s','o','o','p','o','o','p','n','c','l','e'
'k','s','n','f',?,'k','s','w','w','p','w','o','e','w','v','d','p'
'k','s','n','f',?,'k','k','w','w','p','w','o','e','w','v','d','p'
'k','y','e','f',?,'s','k','p','w','p','w','o','e','w','v','l','p'
'x','f','w','f',?,'s','k','w','w','p','w','t','p','w','s','g','e'
'f','s','e','f',?,'k','s','w','p','p','w','o','e','w','v','d','p'
'k','s','n','f',?,'k','s','p','p','p','w','o','e','w','v','l','p'
'k','s','e','f',?,'s','s','w','w','p','w','o','e','w','v','d','p'
'f','s','n','f',?,'s','s','o','o','p','o','o','p','b','v','l','e'
'x','y','n','f','b','y','y','n','n','p','w','t','p','w','y','d','e'
'k','y','n','f',?,'k','s','p','p','p','w','o','e','w','v','d','p'
'k','s','e','f',?,'k','k','p','w','p','w','o','e','w','v','l','p'
'b','s','w','f',?,'s','k','w','w','p','w','t','p','w','s','g','e'
'k','y','n','f',?,'s','s','w','w','p','w','o','e','w','v','p','p'
'k','s','n','f',?,'s','s','w','w','p','w','o','e','w','v','p','p'
'x','s','n','f',?,'s','s','o','o','p','o','o','p','n','c','l','e'
'x','s','g','f',?,'s','k','w','w','p','w','t','p','w','s','g','e'
'x','s','g','f',?,'k','k','w','w','p','w','t','p','w','n','g','e'
'f','y','n','f',?,'k','k','p','p','p','w','o','e','w','v','p','p'
'f','y','n','f',?,'s','s','w','p','p','w','o','e','w','v','d','p'
'f','y','g','t','b','s','s','w','w','p','w','t','p','w','v','p','e'
'k','s','e','f',?,'s','s','p','w','p','w','o','e','w','v','d','p'
'x','f','w','f',?,'k','s','w','w','p','w','t','p','w','s','g','e'
'k','y','n','f',?,'s','k','p','w','p','w','o','e','w','v','p','p'
'k','s','n','f',?,'s','k','p','w','p','w','o','e','w','v','p','p'
'x','s','e','f',?,'s','k','p','w','p','w','o','e','w','v','p','p'
'x','f','g','f',?,'k','s','w','w','p','w','t','p','w','s','g','e'
'f','s','n','f',?,'s','s','o','o','p','o','o','p','n','v','l','e'
'x','y','e','f',?,'k','s','p','w','p','w','o','e','w','v','p','p'
'b','f','w','f',?,'s','s','w','w','p','w','t','p','w','s','g','e'
'k','s','e','f',?,'s','s','w','w','p','w','o','e','w','v','l','p'
'x','f','g','f',?,'s','s','w','w','p','w','t','p','w','s','g','e'
'f','y','n','f','c','k','y','c','c','p','w','n','n','w','c','d','p'
'x','s','n','f',?,'s','s','o','o','p','n','o','p','o','v','l','e'
'b','s','g','f',?,'s','k','w','w','p','w','t','p','w','n','g','e'
'b','s','n','f',?,'s','s','o','o','p','o','o','p','o','v','l','e'
'k','s','e','f',?,'k','k','p','p','p','w','o','e','w','v','d','p'
'f','s','n','f',?,'s','s','o','o','p','o','o','p','o','v','l','e'
'x','f','g','f',?,'s','k','w','w','p','w','t','p','w','n','g','e'
'k','s','n','f',?,'s','k','w','w','p','w','o','e','w','v','p','p'
'x','f','w','f',?,'s','k','w','w','p','w','t','p','w','n','g','e'
'f','y','p','t','b','s','s','w','w','p','w','t','p','w','v','p','e'
'k','y','e','f',?,'s','s','p','w','p','w','o','e','w','v','l','p'
'k','f','g','f',?,'s','k','w','w','p','w','t','p','w','n','g','e'
'k','s','n','f',?,'s','s','o','o','p','o','o','p','y','c','l','e'
'k','s','n','f',?,'k','k','p','w','p','w','o','e','w','v','d','p'
'k','s','n','f',?,'s','k','w','w','p','w','o','e','w','v','l','p'
'k','s','e','f',?,'s','k','w','p','p','w','o','e','w','v','p','p'
'k','y','n','f',?,'s','k','p','p','p','w','o','e','w','v','d','p'
'k','s','n','f',?,'s','s','o','o','p','n','o','p','o','c','l','e'
'k','y','n','f',?,'k','s','w','w','p','w','o','e','w','v','p','p'
'k','f','w','f',?,'s','k','w','w','p','w','t','p','w','s','g','e'
'k','y','e','f',?,'k','k','p','w','p','w','o','e','w','v','p','p'
'f','s','n','f','b','y','y','n','n','p','w','t','p','w','y','p','e'
'k','s','e','f',?,'s','k','p','w','p','w','o','e','w','v','p','p'
'x','f','g','f',?,'k','k','w','w','p','w','t','p','w','s','g','e'
'k','y','e','f',?,'s','s','p','w','p','w','o','e','w','v','d','p'
'k','y','e','f',?,'k','s','w','w','p','w','o','e','w','v','d','p'
'k','s','n','f',?,'s','s','w','p','p','w','o','e','w','v','l','p'
'b','s','n','f',?,'s','s','o','o','p','n','o','p','o','c','l','e'
'k','s','w','f',?,'s','s','w','w','p','w','t','p','w','n','g','e'
'b','s','n','f',?,'s','s','o','o','p','o','o','p','o','c','l','e'
'f','y','g','t','b','s','s','w','w','p','w','t','p','w','y','p','e'
'k','y','e','f','c','k','y','c','c','p','w','n','n','w','c','d','p'
'x','y','e','f',?,'s','s','w','p','p','w','o','e','w','v','d','p'
'k','y','n','f',?,'k','s','p','w','p','w','o','e','w','v','p','p'
'k','s','n','f',?,'s','s','o','o','p','o','o','p','y','v','l','e'
'k','s','n','f',?,'s','s','o','o','p','o','o','p','o','c','l','e'
'x','y','c','t','b','s','s','w','w','p','w','t','p','w','v','p','e'
'k','s','e','f',?,'k','s','w','p','p','w','o','e','w','v','l','p'
'k','y','n','f',?,'s','k','p','p','p','w','o','e','w','v','l','p'
'k','s','e','f',?,'s','s','p','w','p','w','o','e','w','v','l','p'
'k','y','n','f',?,'s','k','w','p','p','w','o','e','w','v','d','p'
'k','y','e','f',?,'k','s','w','p','p','w','o','e','w','v','p','p'
'f','s','c','t','b','s','s','w','w','p','w','t','p','w','v','p','e'
'x','s','n','f',?,'s','s','o','o','p','n','o','p','n','c','l','e'
'b','f','w','f',?,'s','k','w','w','p','w','t','p','w','n','g','e'
'k','f','g','f',?,'s','k','w','w','p','w','t','p','w','s','g','e'
'f','s','n','f',?,'s','s','o','o','p','o','o','p','o','c','l','e'
'k','s','n','f',?,'s','s','o','o','p','n','o','p','o','c','l','e'
'k','f','w','f',?,'s','s','w','w','p','w','t','p','w','n','g','e'
'k','y','e','f',?,'k','s','w','p','p','w','o','e','w','v','l','p'
'b','f','w','f',?,'k','k','w','w','p','w','t','p','w','s','g','e'
'k','y','n','f',?,'s','s','w','p','p','w','o','e','w','v','p','p'
'k','y','e','f',?,'k','k','w','p','p','w','o','e','w','v','d','p'
'k','y','n','f',?,'s','k','w','p','p','w','o','e','w','v','d','p'
'x','s','n','f',?,'s','s','o','o','p','n','o','p','y','v','l','e'
'x','y','n','t','b','s','s','w','w','p','w','t','p','w','y','p','e'
'b','s','w','f',?,'s','k','w','w','p','w','t','p','w','n','g','e'
'f','y','n','f',?,'k','s','w','p','p','w','o','e','w','v','d','p'
'k','s','n','f',?,'s','k','p','w','p','w','o','e','w','v','l','p'
'k','s','e','f',?,'s','k','p','w','p','w','o','e','w','v','p','p'
'x','s','n','f',?,'s','s','o','o','p','n','o','p','y','c','l','e'
'x','s','n','f',?,'s','s','o','o','p','n','o','p','n','v','l','e'
'b','s','w','f',?,'s','s','w','w','p','w','t','p','w','s','g','e'
'x','y','e','f',?,'s','s','p','p','p','w','o','e','w','v','p','p'
'b','f','w','f',?,'k','s','w','w','p','w','t','p','w','s','g','e'
'b','f','w','f',?,'s','k','w','w','p','w','t','p','w','n','g','e'
'b','f','w','f',?,'k','s','w','w','p','w','t','p','w','n','g','e'
'k','s','n','f',?,'s','s','o','o','p','o','o','p','o','v','l','e'
'k','y','e','f',?,'s','k','p','w','p','w','o','e','w','v','p','p'
'k','s','n','f',?,'s','s','o','o','p','n','o','p','o','v','l','e'
'k','s','e','f',?,'k','s','w','w','p','w','o','e','w','v','d','p'
'k','y','c','f','c','k','y','c','c','p','w','n','n','w','c','d','p'
'k','s','n','f',?,'s','s','p','p','p','w','o','e','w','v','d','p'
'x','s','g','f',?,'s','k','w','w','p','w','t','p','w','n','g','e'
'f','s','n','f','b','y','y','n','n','p','w','t','p','w','y','d','e'
'k','s','n','f',?,'s','s','o','o','p','n','o','p','y','c','l','e'
'b','y','n','f','b','y','y','n','n','p','w','t','p','w','y','p','e'
'x','s','n','f',?,'k','k','p','p','p','w','o','e','w','v','l','p'
'b','s','n','f',?,'s','s','o','o','p','o','o','p','b','c','l','e'
'f','s','n','f',?,'k','k','w','w','p','w','o','e','w','v','p','p'
'k','y','n','f',?,'k','s','p','p','p','w','o','e','w','v','p','p'
'k','s','g','f',?,'k','s','w','w','p','w','t','p','w','n','g','e'
'k','y','n','f',?,'s','k','w','w','p','w','o','e','w','v','l','p'
'k','f','g','f',?,'k','s','w','w','p','w','t','p','w','s','g','e'
'x','s','n','f',?,'s','s','o','o','p','n','o','p','o','c','l','e'
'k','s','e','f',?,'s','k','w','w','p','w','o','e','w','v','p','p'
'f','s','n','f',?,'s','s','o','o','p','n','o','p','y','v','l','e'
'k','s','n','f',?,'k','k','p','p','p','w','o','e','w','v','l','p'
'k','y','n','f',?,'s','s','p','p','p','w','o','e','w','v','p','p'
'k','s','n','f',?,'s','s','o','o','p','n','o','p','n','v','l','e'
'b','s','n','f',?,'s','s','o','o','p','o','o','p','n','c','l','e'
'x','y','n','f','b','y','y','n','n','p','w','t','p','w','y','p','e'
'x','s','w','f',?,'k','s','w','w','p','w','t','p','w','s','g','e'
'f','s','n','f',?,'s','s','o','o','p','n','o','p','o','v','l','e'
'f','s','n','f',?,'s','k','w','p','p','w','o','e','w','v','p','p'
'x','y','e','f',?,'s','s','w','p','p','w','o','e','w','v','d','p'
'k','y','e','f',?,'s','k','w','p','p','w','o','e','w','v','p','p'
'k','s','e','f',?,'s','k','p','w','p','w','o','e','w','v','d','p'
'k','s','e','f',?,'k','k','p','w','p','w','o','e','w','v','p','p'
'b','s','n','f',?,'s','s','o','o','p','n','o','p','n','v','l','e'
'x','s','n','f',?,'s','s','o','o','p','n','o','p','y','v','l','e'
'f','s','n','f',?,'s','s','o','o','p','o','o','p','y','v','l','e'
'k','s','n','f',?,'s','s','w','w','p','w','o','e','w','v','l','p'
'b','s','n','f',?,'s','s','o','o','p','o','o','p','b','v','l','e'
'k','s','g','f',?,'s','s','w','w','p','w','t','p','w','s','g','e'
'k','f','w','f',?,'k','k','w','w','p','w','t','p','w','s','g','e'
'k','s','e','f',?,'k','s','p','p','p','w','o','e','w','v','p','p'
'b','f','w','f',?,'k','k','w','w','p','w','t','p','w','n','g','e'
'x','s','w','f',?,'s','k','w','w','p','w','t','p','w','s','g','e'
'b','f','w','f',?,'s','k','w','w','p','w','t','p','w','s','g','e'
'k','y','n','f',?,'s','s','p','p','p','w','o','e','w','v','d','p'
'f','s','n','f',?,'k','s','p','w','p','w','o','e','w','v','l','p'
'f','y','e','f',?,'k','k','p','p','p','w','o','e','w','v','p','p'
'k','s','e','f',?,'s','k','w','p','p','w','o','e','w','v','p','p'
'k','y','n','f',?,'k','s','p','p','p','w','o','e','w','v','d','p'
'x','s','n','f',?,'s','s','o','o','p','n','o','p','y','c','l','e'
'f','s','n','f',?,'s','s','o','o','p','n','o','p','n','v','l','e'
'k','y','n','f',?,'k','s','p','p','p','w','o','e','w','v','l','p'
'k','s','n','f',?,'s','s','p','w','p','w','o','e','w','v','l','p'
'x','f','g','f',?,'s','s','w','w','p','w','t','p','w','n','g','e'
'k','s','w','f',?,'s','k','w','w','p','w','t','p','w','s','g','e'
'k','y','e','f',?,'s','k','p','p','p','w','o','e','w','v','p','p'
'x','s','n','f',?,'s','s','w','w','p','w','o','e','w','v','d','p'
'k','y','n','f',?,'s','s','p','w','p','w','o','e','w','v','l','p'
'k','s','n','f',?,'s','s','o','o','p','o','o','p','b','c','l','e'
'b','f','w','f',?,'k','s','w','w','p','w','t','p','w','n','g','e'
'k','s','n','f',?,'s','s','o','o','p','n','o','p','b','v','l','e'
'k','y','e','f',?,'k','k','p','w','p','w','o','e','w','v','d','p'
'x','y','g','t','b','s','s','w','w','p','w','t','p','w','y','p','e'
'k','s','e','f',?,'s','k','w','w','p','w','o','e','w','v','l','p'
'b','s','n','f',?,'s','s','o','o','p','o','o','p','y','v','l','e'
'k','y','e','f',?,'k','s','p','w','p','w','o','e','w','v','p','p'
'x','s','n','f',?,'s','s','o','o','p','o','o','p','b','c','l','e'
'f','s','n','f',?,'s','s','o','o','p','n','o','p','b','v','l','e'
'f','s','n','f',?,'s','s','o','o','p','n','o','p','y','c','l','e'
'k','y','e','f',?,'k','s','w','p','p','w','o','e','w','v','p','p'
'b','f','g','f',?,'k','s','w','w','p','w','t','p','w','n','g','e'
'k','s','e','f',?,'s','k','p','w','p','w','o','e','w','v','d','p'
'k','s','n','f',?,'s','k','w','p','p','w','o','e','w','v','d','p'
'k','y','n','f',?,'k','s','w','w','p','w','o','e','w','v','l','p'
'k','s','n','f',?,'s','k','w','p','p','w','o','e','w','v','d','p'
'x','f','w','f',?,'s','k','w','w','p','w','t','p','w','s','g','e'
'f','s','n','f',?,'s','s','o','o','p','n','o','p','o','v','l','e'
'k','y','n','f',?,'k','k','w','p','p','w','o','e','w','v','d','p'
'x','s','n','f',?,'s','s','o','o','p','n','o','p','n','v','l','e'
'b','f','g','f',?,'k','s','w','w','p','w','t','p','w','n','g','e'
'b','s','n','f',?,'s','s','o','o','p','o','o','p','y','v','l','e'
'x','s','n','f',?,'s','s','o','o','p','n','o','p','o','v','l','e'
'k','s','e','f',?,'s','k','w','p','p','w','o','e','w','v','l','p'
'k','s','n','f',?,'s','s','w','p','p','w','o','e','w','v','p','p'
'k','s','n','f',?,'k','s','p','p','p','w','o','e','w','v','d','p'
'k','s','n','f',?,'k','k','p','p','p','w','o','e','w','v','p','p'
'k','y','n','f',?,'s','k','p','w','p','w','o','e','w','v','l','p'
'k','f','w','f',?,'k','s','w','w','p','w','t','p','w','s','g','e'
'k','y','e','f',?,'s','s','p','p','p','w','o','e','w','v','l','p'
'k','s','n','f',?,'s','s','o','o','p','o','o','p','b','v','l','e'
'k','s','e','f',?,'k','k','w','w','p','w','o','e','w','v','p','p'
'b','s','n','f',?,'s','s','o','o','p','o','o','p','b','c','l','e'
'f','s','n','f',?,'s','s','o','o','p','o','o','p','b','c','l','e'
'k','s','n','f',?,'s','s','o','o','p','n','o','p','n','c','l','e'
'k','y','e','f',?,'k','k','w','w','p','w','o','e','w','v','l','p'
'k','s','n','f',?,'s','s','o','o','p','o','o','p','y','v','l','e'
'k','y','e','f',?,'k','k','w','w','p','w','o','e','w','v','p','p'
'k','s','n','f',?,'s','s','o','o','p','n','o','p','y','v','l','e'
'b','f','g','f',?,'k','k','w','w','p','w','t','p','w','n','g','e'
'f','s','n','f',?,'s','s','o','o','p','o','o','p','o','c','l','e'
'b','s','n','f',?,'s','s','o','o','p','n','o','p','y','c','l','e'
'f','s','n','f',?,'s','s','o','o','p','n','o','p','o','v','l','e'
'b','f','g','f',?,'s','s','w','w','p','w','t','p','w','s','g','e'
'k','y','e','f',?,'s','s','w','w','p','w','o','e','w','v','l','p'
'k','s','n','f',?,'s','k','p','w','p','w','o','e','w','v','d','p'
'k','y','n','f',?,'k','s','w','w','p','w','o','e','w','v','p','p'
'k','s','e','f',?,'k','k','p','p','p','w','o','e','w','v','p','p'
'k','y','n','f',?,'s','s','w','w','p','w','o','e','w','v','l','p'
'b','f','g','f',?,'k','k','w','w','p','w','t','p','w','s','g','e'
'k','f','w','f',?,'s','k','w','w','p','w','t','p','w','s','g','e'
'k','s','n','f',?,'s','s','o','o','p','n','o','p','o','v','l','e'
'x','s','e','f',?,'k','s','w','p','p','w','o','e','w','v','p','p'
'k','s','n','f',?,'s','s','o','o','p','o','o','p','n','v','l','e'
'k','y','e','f',?,'k','k','w','p','p','w','o','e','w','v','d','p'
'k','s','n','f',?,'k','s','p','p','p','w','o','e','w','v','d','p'
'k','y','e','f',?,'s','k','w','w','p','w','o','e','w','v','p','p'
'k','y','e','f',?,'s','s','p','p','p','w','o','e','w','v','p','p'
'x','s','n','f',?,'k','k','w','w','p','w','o','e','w','v','d','p'
'b','s','g','f',?,'k','s','w','w','p','w','t','p','w','n','g','e'
'x','y','c','f','c','k','y','c','c','p','w','n','n','w','c','d','p'
'k','f','w','f',?,'k','s','w','w','p','w','t','p','w','n','g','e'
'k','y','n','f',?,'k','k','p','p','p','w','o','e','w','v','l','p'
'k','s','e','f',?,'k','k','w','p','p','w','o','e','w','v','d','p'
'k','f','w','f',?,'k','k','w','w','p','w','t','p','w','s','g','e'
'f','s','n','f',?,'s','s','o','o','p','n','o','p','b','v','l','e'
'k','s','e','f',?,'s','s','p','w','p','w','o','e','w','v','p','p'
'x','s','n','f',?,'s','s','o','o','p','n','o','p','n','c','l','e'
'k','s','n','f',?,'s','s','o','o','p','n','o','p','o','c','l','e'
'k','s','n','f',?,'s','s','o','o','p','o','o','p','n','v','l','e'
'k','s','n','f',?,'s','s','o','o','p','n','o','p','y','v','l','e'
'k','s','n','f',?,'s','s','o','o','p','o','o','p','n','v','l','e'
'x','s','n','f',?,'s','s','o','o','p','o','o','p','n','c','l','e'
'k','y','e','f',?,'k','s','p','w','p','w','o','e','w','v','l','p'
'b','s','w','f',?,'s','s','w','w','p','w','t','p','w','n','g','e'
'x','s','n','f',?,'s','s','o','o','p','o','o','p','n','v','l','e'
'k','s','w','f',?,'s','s','w','w','p','w','t','p','w','n','g','e'
'k','s','n','f',?,'s','s','o','o','p','n','o','p','b','v','l','e'
'k','y','e','f',?,'k','k','p','p','p','w','o','e','w','v','d','p'
'f','y','c','f','c','k','y','c','c','p','w','n','n','w','c','d','p'
'x','s','n','f',?,'s','s','o','o','p','o','o','p','o','v','l','e'
'k','y','n','f',?,'s','k','p','w','p','w','o','e','w','v','l','p'
'k','s','e','f',?,'k','s','p','w','p','w','o','e','w','v','d','p'
'k','y','n','f',?,'k','s','p','w','p','w','o','e','w','v','d','p'
'k','s','n','f',?,'s','s','o','o','p','o','o','p','b','c','l','e'
'x','s','n','f',?,'s','s','o','o','p','n','o','p','b','v','l','e'
'f','s','n','f',?,'s','s','o','o','p','o','o','p','b','c','l','e'
'k','y','n','f',?,'s','k','w','w','p','w','o','e','w','v','l','p'
'x','s','n','f',?,'s','s','o','o','p','o','o','p','o','c','l','e'
